,zip_code,total_population,total_male_population,total_female_popularion,18+,18+Male,18+Female,Population 18-24,18-24 not high school graduate,18-24 high school graduate,18-24 bachelor's degree or higher,Population 25 to 34 years,25-34 not high school graduate,25-34 high school graduate,25-34 Bachelor's or higher,Population 35 to 44 years,35-44 not high school graduate,35-44 high school graduate,35-44 Bachelor's or higher,Population 65 and up,65 and up not high school graduate,65 and up high school graduate,65 and up Bachelor's or higher,average household income
0,37013,97939,47658,50281,59479,27984,31495,9099,1073,6670,1356,19538,1439,10123,7976,14718,2146,7680,4892,6688,1045,4248,1395,26832
1,37027,56117,27888,28229,39146,19094,20052,4292,643,2420,1229,4309,14,947,3348,7336,183,983,6170,8181,216,2868,5097,70554
2,37067,29543,14462,15081,20448,9573,10875,2278,227,1259,792,4046,37,902,3107,4382,145,813,3424,3696,226,1931,1539,55278
3,37072,31492,15327,16165,24099,11489,12610,2230,336,1583,311,5008,313,2771,1924,3067,169,1850,1048,5843,780,3882,1181,32889
4,37076,40161,19600,20561,30384,14353,16031,3191,278,2317,596,7422,329,3400,3693,6216,583,3022,2611,5114,426,3420,1268,34778
5,37078,380,194,186,350,174,176,67,7,60,0,34,0,13,21,48,6,35,7,102,9,86,7,29390
6,37080,7394,3703,3691,5988,3076,2912,509,136,336,37,769,84,528,157,713,151,387,175,1387,401,792,194,32685
7,37115,40343,19376,20967,27390,12606,14784,3166,728,2308,130,6593,1199,3880,1514,5435,1127,3346,962,5289,872,3444,973,24640
8,37135,14256,6919,7337,9515,4777,4738,1165,248,831,86,1245,38,381,826,2503,37,691,1775,1155,103,576,476,43703
9,37138,23784,11320,12464,17799,8591,9208,1229,238,832,159,2627,232,1252,1143,3653,392,2010,1251,3798,711,2177,910,33107
10,37189,4016,1642,2374,3196,1283,1913,100,5,78,17,584,9,353,222,799,38,325,436,722,72,479,171,37674
11,37201,1619,1245,374,1475,1132,343,301,98,191,12,509,60,249,200,245,33,141,71,88,0,56,32,43340
12,37203,15091,7412,7679,12679,6154,6525,2420,157,1191,1072,5540,26,1321,4193,1799,166,404,1229,1121,346,551,224,49754
13,37204,15452,6908,8544,12294,5498,6796,2737,73,2208,456,3822,85,662,3075,1947,8,342,1597,1274,175,393,706,51342
14,37205,23790,10824,12966,19366,8780,10586,1837,181,822,834,3535,0,549,2986,2661,36,349,2276,5518,224,1774,3520,81277
15,37206,26382,12473,13909,20213,9555,10658,1990,228,1435,327,6918,226,2506,4186,4208,364,1408,2436,2226,450,1369,407,36851
16,37207,39544,17866,21678,27146,11945,15201,3010,363,2408,239,6299,686,3863,1750,5220,749,3263,1208,4632,1105,2609,918,21937
17,37208,18011,7917,10094,13835,5881,7954,2376,190,1794,392,3909,259,1133,2517,2324,387,1157,780,1795,542,961,292,31964
18,37209,38664,18251,20413,29326,13363,15963,5522,337,3591,1594,11095,434,3399,7262,4738,744,2011,1983,3052,554,1801,697,32539
19,37210,17248,8731,8517,11023,5157,5866,2256,163,1811,282,3488,515,1512,1461,2026,473,1095,458,1691,453,968,270,23851
20,37211,75955,39340,36615,46637,23496,23141,6972,1130,4261,1581,17519,2764,6777,7978,10945,2185,4461,4299,7558,1278,4203,2077,29406
21,37212,20803,9757,11046,16969,7878,9091,7760,110,6647,1003,4122,65,822,3235,1808,115,277,1416,1541,168,583,790,40792
22,37213,95,86,9,76,76,0,0,0,0,0,54,0,54,0,12,0,0,12,0,0,0,0,14918
23,37214,30528,14968,15560,24025,11392,12633,2053,240,1460,353,6246,163,2779,3304,4864,180,2388,2296,4103,528,2624,951,34065
24,37215,22379,9989,12390,17874,7986,9888,1774,222,848,704,2717,37,434,2246,2488,24,378,2086,5135,121,1211,3803,88326
25,37216,17848,8877,8971,14856,7510,7346,1179,129,777,273,4247,90,1550,2607,2828,140,1382,1306,2311,414,1295,602,38634
26,37217,30146,15018,15128,18346,8998,9348,2633,347,1786,500,6336,775,3346,2215,4507,559,2537,1411,2772,473,1591,708,26576
27,37218,15721,7083,8638,12126,5319,6807,849,88,696,65,2169,267,1263,639,2150,196,1302,652,3024,547,1754,723,24974
28,37219,1154,737,417,1111,724,387,201,0,13,188,236,0,70,166,180,0,18,162,114,0,0,114,72886
29,37220,5880,2994,2886,4479,2126,2353,217,72,65,80,515,0,147,368,865,0,121,744,1143,0,498,645,81630
30,37221,41017,19437,21580,31187,13925,17262,2748,179,1866,703,6730,122,2023,4585,5230,256,1830,3144,6499,370,3232,2897,46185
31,37228,1615,708,907,1518,665,853,354,0,278,76,451,0,149,302,88,0,17,71,450,187,217,46,32253
