,zip_code,Population 18-24,18-24 not high school graduate,18-24 high school graduate,18-24 Bachelor's degree or higher,Population 25 to 34 years,25-34 not high school graduate,25-34 high school graduate,25-34 Bachelor's degree or higher,Population 35 to 44 years,35-44 not high school graduate,35-44 high school graduate,35-44 Bachelor's degree or higher,Population 65 and up,65 and up not high school graduate,65 and up high school graduate,65 and up Bachelor's degree or higher
1,37013,9099,1073,6670,1356,19538,1439,10123,7976,14718,2146,7680,4892,6688,1045,4248,1395
2,37027,4292,643,2420,1229,4309,14,947,3348,7336,183,983,6170,8181,216,2868,5097
3,37067,2278,227,1259,792,4046,37,902,3107,4382,145,813,3424,3696,226,1931,1539
4,37072,2230,336,1583,311,5008,313,2771,1924,3067,169,1850,1048,5843,780,3882,1181
5,37076,3191,278,2317,596,7422,329,3400,3693,6216,583,3022,2611,5114,426,3420,1268
6,37078,67,7,60,0,34,0,13,21,48,6,35,7,102,9,86,7
7,37080,509,136,336,37,769,84,528,157,713,151,387,175,1387,401,792,194
8,37115,3166,728,2308,130,6593,1199,3880,1514,5435,1127,3346,962,5289,872,3444,973
9,37135,1165,248,831,86,1245,38,381,826,2503,37,691,1775,1155,103,576,476
10,37138,1229,238,832,159,2627,232,1252,1143,3653,392,2010,1251,3798,711,2177,910
11,37189,100,5,78,17,584,9,353,222,799,38,325,436,722,72,479,171
12,37201,301,98,191,12,509,60,249,200,245,33,141,71,88,0,56,32
13,37203,2420,157,1191,1072,5540,26,1321,4193,1799,166,404,1229,1121,346,551,224
14,37204,2737,73,2208,456,3822,85,662,3075,1947,8,342,1597,1274,175,393,706
15,37205,1837,181,822,834,3535,0,549,2986,2661,36,349,2276,5518,224,1774,3520
16,37206,1990,228,1435,327,6918,226,2506,4186,4208,364,1408,2436,2226,450,1369,407
17,37207,3010,363,2408,239,6299,686,3863,1750,5220,749,3263,1208,4632,1105,2609,918
18,37208,2376,190,1794,392,3909,259,1133,2517,2324,387,1157,780,1795,542,961,292
19,37209,5522,337,3591,1594,11095,434,3399,7262,4738,744,2011,1983,3052,554,1801,697
20,37210,2256,163,1811,282,3488,515,1512,1461,2026,473,1095,458,1691,453,968,270
21,37211,6972,1130,4261,1581,17519,2764,6777,7978,10945,2185,4461,4299,7558,1278,4203,2077
22,37212,7760,110,6647,1003,4122,65,822,3235,1808,115,277,1416,1541,168,583,790
23,37213,0,0,0,0,54,0,54,0,12,0,0,12,0,0,0,0
24,37214,2053,240,1460,353,6246,163,2779,3304,4864,180,2388,2296,4103,528,2624,951
25,37215,1774,222,848,704,2717,37,434,2246,2488,24,378,2086,5135,121,1211,3803
26,37216,1179,129,777,273,4247,90,1550,2607,2828,140,1382,1306,2311,414,1295,602
27,37217,2633,347,1786,500,6336,775,3346,2215,4507,559,2537,1411,2772,473,1591,708
28,37218,849,88,696,65,2169,267,1263,639,2150,196,1302,652,3024,547,1754,723
29,37219,201,0,13,188,236,0,70,166,180,0,18,162,114,0,0,114
30,37220,217,72,65,80,515,0,147,368,865,0,121,744,1143,0,498,645
31,37221,2748,179,1866,703,6730,122,2023,4585,5230,256,1830,3144,6499,370,3232,2897
32,37228,354,0,278,76,451,0,149,302,88,0,17,71,450,187,217,46
