,zip_code,average household income
1,37013,26832
2,37027,70554
3,37067,55278
4,37072,32889
5,37076,34778
6,37078,29390
7,37080,32685
8,37115,24640
9,37135,43703
10,37138,33107
11,37189,37674
12,37201,43340
13,37203,49754
14,37204,51342
15,37205,81277
16,37206,36851
17,37207,21937
18,37208,31964
19,37209,32539
20,37210,23851
21,37211,29406
22,37212,40792
23,37213,14918
24,37214,34065
25,37215,88326
26,37216,38634
27,37217,26576
28,37218,24974
29,37219,72886
30,37220,81630
31,37221,46185
32,37228,32253
